method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed
ABC-SMC,644541.6666666666,0.8632574794870435,6806360.0,9.115998983383179,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,646109.8484848485,0.8641662696997324,6822920.0,9.125595808029175,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,646453.6862003781,0.8634981901749321,6839480.0,9.135810852050781,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,645578.154425612,0.8611586358812119,6856040.0,9.145504713058472,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,645921.052631579,0.8604306027405244,6872600.0,9.15498161315918,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,646262.6641651031,0.8597670531854397,6889160.0,9.165116786956787,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,646602.9962546817,0.8590503578328907,6905720.0,9.174657821655273,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,645735.0746268657,0.8567609893741893,6922280.0,9.184477806091309,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,647279.8507462686,0.857656415718705,6938840.0,9.194076776504517,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,647616.3873370577,0.8569999558077622,6955400.0,9.204179525375366,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,647951.6728624534,0.8563430779042296,6971960.0,9.214251518249512,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,648285.7142857142,0.8556696391061417,6988520.0,9.224118709564209,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,649821.8923933208,0.8566104414732866,7005080.0,9.234260559082031,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,648950.0924214418,0.8543611233864606,7021640.0,9.244187355041504,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,650480.5914972273,0.8552947678980236,7038200.0,9.254289388656616,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,652011.090573013,0.856197915985051,7054760.0,9.264061450958252,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,652335.7933579335,0.8555427468570836,7071320.0,9.274083375930786,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,651459.5588235294,0.8533062084632761,7087880.0,9.283971548080444,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,652981.6176470588,0.8542013299815795,7104440.0,9.293710470199585,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,653302.752293578,0.8535509590708882,7121000.0,9.30370545387268,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,653622.7106227105,0.8529139525724416,7137560.0,9.313820362091064,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,653941.4990859231,0.8522798417909052,7154120.0,9.323941469192505,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,655455.2102376597,0.853178117567268,7170680.0,9.333768606185913,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,656968.9213893967,0.8540662376710657,7187240.0,9.34348464012146,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,657281.0218978102,0.8534589823145066,7203800.0,9.353910446166992,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
