method,n_sim,time,epsilon,kl_sigma2,kl_joint,K,K_outliers,include_osum,seed
ABC-SMC,647622.0472440944,227.51401202885185,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,651598.4251968503,227.54103405269115,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,650453.125,225.7903814315796,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,649325.5813953489,224.06685629556344,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,643267.1755725192,220.67281644762926,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,642219.696969697,219.02781029542288,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,646045.4545454545,219.05379548217311,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,640171.6417910447,215.81020230677592,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,629839.4160583941,211.11015838428136,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,628934.7826086956,209.60543077924973,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,628043.1654676258,208.12296438560207,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,618330.985915493,203.75025028913794,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,617538.4615384615,202.3501859678255,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,616756.9444444445,200.96934338410696,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,615986.2068965518,199.60712852149175,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,615226.0273972603,198.2677803464132,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,618684.9315068494,198.2919984484372,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,622143.8356164383,198.31555738841016,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,617148.6486486486,195.66011171083193,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,620560.8108108109,195.6838840568388,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,615653.3333333333,193.0987365245819,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,610875.0,190.58072457188055,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,602309.6774193548,186.91453641460788,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,605567.7419354839,186.93680094134425,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,608825.806451613,186.95858255509407,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,600462.0253164556,183.43043885653532,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,603658.2278481013,183.4521597699274,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,606854.4303797468,183.47328418417823,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,610050.6329113924,183.49491395527804,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,613246.835443038,183.5161129885082,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,612566.037735849,182.38315822193456,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,611893.75,181.2649440765381,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,615050.0,181.28649786114693,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,614366.4596273291,180.19680599248187,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,613691.3580246913,179.1134176430879,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,609286.5853658536,176.95560375364812,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,608654.5454545453,175.9050710273511,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,604389.2215568861,173.8200836552831,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,607413.1736526946,173.84052533589434,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,603213.0177514793,171.85871791557443,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,599111.1111111111,169.8693089317857,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,602064.3274853801,169.8899692262125,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,601500.0000000001,168.92230226549992,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,597488.5057471265,167.0007382316151,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
