method,n_sim,time,epsilon,K,K_outliers,include_osum,seed
ABC-SMC,585269.8412698413,71.50461825113447,9.062128536773425,20,4,True,0
ABC-SMC,589968.253968254,71.52474607740129,9.062128536773425,20,4,True,0
ABC-SMC,589984.2519685039,70.98177089465885,9.062128536773425,20,4,True,0
ABC-SMC,590000.0,70.44732542708516,9.062128536773425,20,4,True,0
ABC-SMC,581007.6335877862,68.8540218440631,9.062128536773425,20,4,True,0
ABC-SMC,576721.8045112782,67.83837304079444,9.062128536773425,20,4,True,0
ABC-SMC,581172.932330827,67.8572722843715,9.062128536773425,20,4,True,0
ABC-SMC,581253.7313432836,67.36998629214158,9.062128536773425,20,4,True,0
ABC-SMC,577058.8235294117,66.3980203516343,9.062128536773425,20,4,True,0
ABC-SMC,577167.8832116788,65.9321318577676,9.062128536773425,20,4,True,0
ABC-SMC,581489.0510948906,65.95077088279446,9.062128536773425,20,4,True,0
ABC-SMC,581565.2173913042,65.49154459566309,9.062128536773425,20,4,True,0
ABC-SMC,585855.0724637681,65.50986343535824,9.062128536773425,20,4,True,0
ABC-SMC,585899.2805755395,65.05721944699184,9.062128536773425,20,4,True,0
ABC-SMC,590158.2733812949,65.07530726974815,9.062128536773425,20,4,True,0
ABC-SMC,585985.8156028369,64.17030924600913,9.062128536773425,20,4,True,0
ABC-SMC,577888.8888888889,62.85099378890462,9.062128536773425,20,4,True,0
ABC-SMC,570122.4489795918,61.585595332035396,9.062128536773425,20,4,True,0
ABC-SMC,570270.2702702703,61.18652135939212,9.062128536773425,20,4,True,0
ABC-SMC,570416.1073825503,60.79309338691251,9.062128536773425,20,4,True,0
ABC-SMC,566781.4569536424,60.00465967797285,9.062128536773425,20,4,True,0
ABC-SMC,563241.8300653595,59.23683635549608,9.062128536773425,20,4,True,0
